Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0402,2,7pF,
"C10, C11, C12, C19, C2, C20, C22, C25, C26, C27, C3, C32, C38, C39, C4, C40, C41, C46, C5, C52, C53, C8, C9",0402,23,0.1uF,
"C13, C30, C33, C34, C37",0402,5,10uF,
"C14, C15, C16, C23",0402,4,4.7uF,
"C17, C18, C21, C28, C29, C31",0402,6,0.47uF,
C24,0402,1,4.7nF,C107198
"C35, C36",0402,2,1uF,
"C42, C45, C48, C49",0603,4,10uf,
C43,0603,1,1uf,
C44,0603,1,0.1uf,
C47,0402,1,470pf,
C50,0603,1,2.2uf,
C51,0402,1,8.2nf,
C54,0603,1,100uf,
C6,0402,1,220pF,
"D1, D3, D4",0402,3,TX,C84267
D2,0402,1,RX,C193902
"D5, D6",D_SMA,2,1N4007,
F1,0603,1,0.5A,C207014
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8",0402,8,Ferrite_Bead,
"H1, H2, H3, H4",MountingHole_2.5mm_Pad_Via,4,MountingHole,
IC1,SOIC127P600X175-9N,1,TP4056,
IC2,TPS61088QRHLRQ1,1,TPS61088QRHLRQ1,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J2, J5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2, B2B-PH-SM4-TB(LF)(SN) ,
"J3, J4",JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,2,EC_Sensor_Input_3_Pin,
J7,PinHeader_1x05_P2.54mm_Vertical,1,JTAG,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,Jumper_2_Open,
"JP3, JP4",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_3_Open,
L1,L_7.3x7.3_H4.5,1,2.2uH,
"LED1, LED2",0402,2,CHG,
"R1, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22",0402,11,0,
R10,0402,1,47.5K,
"R11, R12, R23, R28, R29",0402,5,1K,
"R2, R3",0402,2,2.2,
"R24, R25, R36, R37",0603,4,1K,
"R26, R27",0603,2,10k,
R30,0402,1,1.3K,
R31,0402,1,23.7k,
R32,0402,1,105k,
R33,0402,1,69.8k,
R34,0402,1,267k,
R35,0402,1,220k,
R4,0402,1,200,
R5,0402,1,100k,
R6,0402,1,1M,
"R7, R8",0402,2,5K1,
R9,0402,1,22.1K,
Rprog1,0603,1,1.2K,
SW1,Tactile 3x4x2mm TS-A010,1,SW_Push,
"SW2, SW3",Tactile 3x4x2mm TS-A010,2,TS-1088R-02526 ,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,
TP4,TestPoint_Pad_1.0x1.0mm,1,TestPoint,
U1,aducm355,1,aducm_355,
U2,SOT-666,1,USBLC6-2P6,
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A01-GQFN28,C964632
U4,LFCSP_8Lead_CP_8_21,1,ADM7154,
U5,ESSOP-10_3.9x4.9mm_P1.00mm,1,ch340k,
U6,SOT-363_SC-70-6,1,2N27002DW,
U7,ESP32-WROOM-32E,1,ESP32-WROOM-E,
U8,EMI Shield,1,~,
Y1,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,32MHz,
